epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,47887.5,0.48159,0.90858,0.84089,0.71275,0.70006,0.73963,0.65586,0.43746,0.92564,0.74955,7.8616e-05,7.8616e-05,7.8616e-05
110,47996.1,0.50444,0.97171,0.85126,0.76619,0.69776,0.73723,0.65134,0.46148,0.87459,0.76485,7.8418e-05,7.8418e-05,7.8418e-05
111,48099,0.46762,0.95633,0.84167,0.66665,0.75365,0.73628,0.66433,0.43396,0.95831,0.74412,7.822e-05,7.822e-05,7.822e-05
112,48204.2,0.5213,0.95734,0.87048,0.66914,0.78235,0.75247,0.65837,0.44235,0.84712,0.75118,7.8022e-05,7.8022e-05,7.8022e-05
113,48308.4,0.5055,0.95634,0.85955,0.72605,0.76876,0.75958,0.65434,0.44959,0.82565,0.76238,7.7824e-05,7.7824e-05,7.7824e-05
114,48411.9,0.49065,0.92848,0.85253,0.71716,0.73262,0.74759,0.65943,0.45114,0.84319,0.76056,7.7626e-05,7.7626e-05,7.7626e-05
115,48517.4,0.46884,0.88741,0.85498,0.75858,0.72944,0.74073,0.64425,0.45292,0.83066,0.76173,7.7428e-05,7.7428e-05,7.7428e-05
116,48619.9,0.49458,0.89408,0.86128,0.71361,0.72125,0.739,0.64391,0.44279,0.80977,0.76208,7.723e-05,7.723e-05,7.723e-05
117,48721.8,0.4875,0.92358,0.85387,0.68523,0.74979,0.73514,0.64442,0.43998,0.8404,0.75618,7.7032e-05,7.7032e-05,7.7032e-05
118,48823.1,0.49553,0.89098,0.85587,0.68423,0.77142,0.73625,0.6451,0.45273,0.83318,0.76477,7.6834e-05,7.6834e-05,7.6834e-05
119,48927,0.48619,0.91426,0.84629,0.71538,0.71616,0.73517,0.63729,0.47413,0.86979,0.76811,7.6636e-05,7.6636e-05,7.6636e-05
120,49035.3,0.48329,0.93073,0.86109,0.66905,0.72977,0.73577,0.64781,0.44345,0.8098,0.75755,7.6438e-05,7.6438e-05,7.6438e-05
121,49137.8,0.49097,0.91653,0.86217,0.77314,0.71247,0.7647,0.65847,0.44622,0.76711,0.75463,7.624e-05,7.624e-05,7.624e-05
